x,y,ap1,ap2,ap3,ap4,ap5,ap6,ap7,ap8,ap9,ap10,ap11,ap12,ap13,ap14,ap15,ap16,ap17,ap18,ap19,ap20
0,0,-23,-31,-33,-51,-47,-55,-56,-63,-39,-60,-62,-74,-55,-67,-60,-73,-29,-44,-73,-83
0,0,-23,-46,-32,-32,-65,-70,-56,-38,-39,-72,-49,-59,-55,-80,-60,-57,-52,-62,-73,-78
0,0,-51,-46,-32,-28,-63,-72,-39,-38,-39,-70,-46,-55,-55,-81,-48,-58,-52,-60,-62,-79
0,0,-51,-46,-32,-28,-63,-72,-39,-38,-39,-70,-46,-55,-55,-81,-48,-58,-52,-60,-62,-79
0,0,-45,-53,-24,-31,-62,-73,-37,-41,-54,-75,-50,-57,-65,-81,-45,-58,-52,-64,-60,-80
0,0,-45,-49,-27,-28,-59,-70,-42,-39,-55,-71,-45,-58,-68,-78,-48,-57,-53,-61,-61,-82
0,0,-42,-51,-33,-35,-60,-69,-41,-43,-55,-70,-45,-62,-64,-75,-48,-59,-50,-62,-60,-81
0,0,-42,-53,-35,-34,-60,-68,-41,-41,-53,-68,-45,-60,-64,-77,-49,-60,-51,-64,-59,-79
0,0,-42,-53,-35,-34,-60,-68,-41,-41,-53,-68,-45,-60,-64,-77,-49,-60,-51,-64,-59,-79
0,0,-54,-57,-35,-32,-60,-68,-35,-39,-53,-69,-49,-60,-64,-77,-49,-60,-51,-61,-58,-79
0,1,-50,-55,-31,-29,-57,-72,-38,-38,-52,-71,-49,-59,-63,-76,-46,-60,-49,-63,-63,-80
0,1,-47,-52,-26,-30,-60,-77,-42,-48,-55,-72,-55,-61,-68,-81,-50,-61,-54,-67,-72,-81
0,1,-47,-52,-25,-31,-59,-76,-44,-45,-69,-74,-48,-63,-61,-85,-50,-60,-54,-67,-61,-83
0,1,-47,-52,-25,-31,-59,-76,-44,-45,-69,-74,-48,-63,-61,-85,-50,-60,-54,-67,-61,-83
0,1,-48,-61,-25,-32,-62,-72,-37,-44,-69,-77,-46,-61,-65,-85,-47,-60,-54,-65,-66,-79
0,1,-51,-57,-25,-34,-60,-76,-38,-45,-64,-77,-46,-63,-65,-84,-49,-60,-54,-68,-65,-80
0,1,-51,-57,-25,-34,-60,-76,-38,-45,-64,-77,-46,-63,-65,-84,-49,-60,-54,-68,-65,-80
0,1,-50,-56,-26,-35,-62,-78,-36,-47,-64,-74,-47,-63,-67,-83,-51,-60,-54,-68,-71,-81
0,1,-50,-56,-26,-35,-62,-78,-36,-47,-64,-74,-47,-63,-67,-83,-51,-60,-54,-68,-71,-81
0,1,-49,-58,-25,-38,-61,-78,-37,-47,-64,-74,-47,-63,-67,-84,-48,-58,-52,-68,-71,-81
0,2,-50,-61,-25,-37,-59,-79,-37,-47,-63,-75,-49,-63,-67,-84,-50,-60,-51,-68,-66,-80
0,2,-54,-53,-44,-37,-57,-79,-36,-43,-60,-75,-49,-63,-67,-84,-51,-63,-52,-66,-66,-80
0,2,-54,-53,-44,-37,-57,-79,-36,-43,-60,-75,-49,-63,-67,-84,-51,-63,-52,-66,-66,-80
0,2,-54,-55,-39,-30,-58,-75,-34,-47,-60,-76,-50,-62,-71,-85,-51,-62,-51,-66,-65,-81
0,2,-52,-61,-29,-41,-59,-74,-36,-46,-59,-71,-50,-61,-71,-83,-53,-61,-51,-67,-67,-75
0,2,-52,-59,-30,-42,-61,-73,-37,-47,-59,-70,-51,-61,-71,-84,-54,-60,-52,-67,-67,-75
0,2,-52,-57,-32,-41,-61,-74,-37,-47,-58,-72,-48,-60,-71,-83,-55,-60,-52,-67,-69,-75
0,2,-52,-55,-35,-42,-61,-73,-34,-45,-59,-72,-48,-61,-70,-83,-53,-60,-52,-67,-67,-77
0,2,-52,-56,-35,-39,-61,-71,-34,-46,-57,-72,-48,-61,-70,-83,-51,-61,-53,-68,-64,-79
0,2,-51,-59,-33,-40,-60,-72,-37,-46,-60,-72,-50,-63,-70,-83,-53,-60,-54,-68,-72,-78
0,3,-51,-59,-31,-41,-60,-72,-35,-46,-60,-73,-50,-63,-71,-84,-53,-60,-55,-68,-67,-78
0,3,-51,-61,-33,-42,-60,-76,-41,-51,-67,-77,-50,-70,-67,-85,-53,-63,-59,-68,-66,-83
0,3,-51,-59,-37,-43,-62,-77,-42,-48,-67,-79,-52,-67,-67,-87,-51,-64,-58,-70,-66,-85
0,3,-51,-59,-37,-43,-62,-77,-42,-48,-67,-79,-52,-67,-67,-87,-51,-64,-58,-70,-66,-85
0,3,-47,-57,-37,-44,-62,-77,-43,-47,-67,-80,-52,-66,-67,-87,-51,-64,-58,-68,-69,-86
0,3,-44,-59,-34,-44,-63,-77,-44,-47,-67,-79,-47,-65,-67,-86,-49,-65,-58,-67,-67,-83
0,3,-45,-58,-34,-44,-62,-77,-43,-48,-67,-80,-51,-65,-76,-85,-50,-65,-58,-68,-66,-84
0,3,-45,-58,-34,-44,-62,-77,-43,-48,-67,-80,-51,-65,-76,-85,-50,-65,-58,-68,-66,-84
0,3,-44,-57,-35,-43,-63,-76,-41,-48,-70,-79,-47,-64,-76,-86,-49,-65,-57,-67,-68,-84
0,3,-45,-55,-37,-43,-63,-77,-42,-48,-70,-79,-47,-65,-70,-85,-49,-66,-58,-68,-68,-85
0,4,-44,-52,-42,-38,-61,-77,-43,-49,-70,-78,-51,-63,-70,-79,-46,-63,-57,-67,-66,-84
0,4,-45,-56,-42,-42,-71,-83,-46,-54,-70,-80,-51,-74,-70,-79,-46,-66,-57,-70,-71,-87
0,4,-45,-56,-42,-42,-71,-83,-46,-54,-70,-80,-51,-74,-70,-79,-46,-66,-57,-70,-71,-87
0,4,-56,-50,-31,-39,-71,-80,-50,-52,-64,-81,-62,-73,-72,-87,-58,-66,-61,-66,-78,-87
0,4,-47,-56,-30,-36,-71,-80,-52,-52,-64,-80,-62,-73,-72,-87,-58,-68,-61,-66,-78,-87
0,4,-48,-54,-37,-40,-71,-82,-50,-52,-63,-84,-62,-71,-72,-87,-58,-66,-60,-67,-78,-86
0,4,-58,-56,-30,-39,-67,-81,-46,-50,-66,-82,-59,-71,-72,-87,-55,-68,-59,-68,-78,-86
0,4,-50,-55,-31,-41,-66,-80,-46,-51,-68,-83,-62,-71,-72,-87,-57,-67,-61,-68,-78,-86
